"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income",,,,
"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income",,,,
County,,,,
GeoFips,GeoName,LineCode,Description,2021
48139,"Ellis, TX",3,Per capita personal income (dollars) 2,53707
48141,"El Paso, TX",1,Personal income (thousands of dollars),38371386
48141,"El Paso, TX",2,Population (persons) 1,867499
48141,"El Paso, TX",3,Per capita personal income (dollars) 2,44232
48143,"Erath, TX",1,Personal income (thousands of dollars),2062720
48143,"Erath, TX",2,Population (persons) 1,43381
48143,"Erath, TX",3,Per capita personal income (dollars) 2,47549
48145,"Falls, TX",1,Personal income (thousands of dollars),733390
48145,"Falls, TX",2,Population (persons) 1,17113
48145,"Falls, TX",3,Per capita personal income (dollars) 2,42856
48147,"Fannin, TX",1,Personal income (thousands of dollars),1721899
48147,"Fannin, TX",2,Population (persons) 1,36723
48147,"Fannin, TX",3,Per capita personal income (dollars) 2,46889
48149,"Fayette, TX",1,Personal income (thousands of dollars),1674473
48149,"Fayette, TX",2,Population (persons) 1,24690
48149,"Fayette, TX",3,Per capita personal income (dollars) 2,67820
48151,"Fisher, TX",1,Personal income (thousands of dollars),209442
